dansk-tigrinya-ordbog	headword
dictionaryjaimelopez	lema
efighkj5	lema
ENCROGASTERM	headword
eudelex	entryheadword
ewb67f3t	lema
GRUPO5	word
gsldict	orth
gv9iaj8e	lema
hypolexicon	hypernym
h8ee85wc	Lemma
ibjpmmht	lema
ife3b2kv	Lemma
iix8hh2e	term_IT
ksrwrjkq	lema
math_jp_ua	main_kanji
osmanlica	maddeBaşı
paroleletteratura	lemma
pswry5ew	Lemma
p9kyxp4g	lHrf
qvhnf73e	lema
SliW2	orth
ssr45ntd	lemma
t8wryugt	Lemma
vdch	root
wqqbc3bb	headword
xme33n2b	Lemma
xm82ixc6	word
x4npf8cw	head
yiddish	yiddish
zjaubki3p	Headword
zp6tjaahb	key1
ztfwwq2zr	term
26dvi3jh	heardword
4k2mf3n3	Lemma
6kue332v	Lemma
6ng2577t	lemma
9c7dxj2i	Lemma
9q3qc9h5	root
2fvjc3qy	lema
zrx2byi5e	source
persiska	Headword
ztxs64ixt	headword
dig2023	headword
cyx36tp9	Lemma
ijmgfq3s	Lemma
en-ua-eu_terms-dict_lab-soc-economics	Headword
Qaamuuskaafsoomaaliga	SomaliEntry
terminov	termo_entrada
qrinjxtc	Lemma
mrhkv2sc	lema
cf4bmykh	Lemma
kcet2pdb	word
bh2pfmtv	Lemma
QaamuuskaEraybixinta	SomaliTerm
w36edhk6	headword
k2htc6m8	Lemma
t6xv3hs9	Lemma
eldictionary.akerke	terms
